label,source,text
POS,"Mathioudakis et al. (2025)","REASONING: This is a positive example because it is a primary Randomized Clinical Trial (RCT) that uses a smartphone app and a Reinforcement Learning (AI) algorithm to deliver a real-world lifestyle intervention. CONTENT: An AI-Powered Lifestyle Intervention vs Human Coaching in the Diabetes Prevention Program. The study compares an AI-led intervention (via mobile app and digital scale) to human coaching. The AI used a reinforcement learning algorithm to personalize messaging, successfully achieving weight loss and physical activity goals in adults with prediabetes."
POS,"Vandelanotte et al. (2023)","REASONING: This is a positive example because it proposes a ""Just-In-Time Adaptive Intervention"" (JITAI) using a digital assistant on a smartphone. It utilizes Machine Learning (contextual bandits) and NLP to interact with users in the real world. CONTENT: Increasing physical activity using a just-in-time adaptive digital assistant supported by machine learning. The paper describes a system with three components: educational conversations via NLP, a nudge engine using reinforcement learning for hyper-personalized cues based on real-time data (GPS, weather), and a generative AI Q&A feature."
POS,"Vandelanotte et al. (2025)","REASONING: This is a positive example describing a protocol for an RCT of an app-based digital assistant (""MoveMentor"") that employs Large Language Models (LLMs) and Reinforcement Learning for personalized coaching. CONTENT: MoveMentor—examining the effectiveness of a machine learning and app-based digital assistant to increase physical activity. The intervention uses an app to provide educational conversations, just-in-time nudges, and chat-based Q&A, adapting in real-time to user data to increase physical activity."
POS,"Sporrel et al. (2021)","REASONING: This is a positive example because it details the design of a smartphone application that uses empirical data mining to create a self-learning module for timing physical activity reminders. CONTENT: The Design and Development of a Personalized Leisure Time Physical Activity Application. The study develops the ""PAUL"" app based on behavior change theories and data mining of historical running data. It features a self-learning module to optimize the timing of reminders and feedback, demonstrating a direct application of AI principles in a user-facing mobile tool."
POS,"Synthetic_POS_01","REASONING: This is a positive example as it uses Computer Vision (AI) on a smartphone to assess physical activity quality in adults. CONTENT: PocketCoach: Real-time Squat Analysis using Smartphone Computer Vision. We propose a mobile application that uses the phone's camera and a lightweight convolutional neural network (CNN) to detect user pose and provide corrective feedback during exercise sessions in urban parks."
POS,"Synthetic_POS_02","REASONING: This is a positive example featuring an LSTM (Deep Learning) model integrated into a smartphone app to predict sedentary bouts. CONTENT: Predicting Sedentary Behavior in Office Workers using Recurrent Neural Networks on Mobile Devices. This study implements a Long Short-Term Memory (LSTM) model directly on a smartphone to analyze accelerometer streams and predict prolonged sitting, triggering just-in-time notifications to walk."
POS,"Synthetic_POS_03","REASONING: This is a positive example using a Recommender System (AI) for walking routes in a city setting. CONTENT: CityWalk: A Context-Aware Recommender System for Urban Walking Routes. The app uses collaborative filtering to suggest personalized walking paths based on user preferences, current weather, and noise levels derived from urban sensing data."
POS,"Synthetic_POS_04","REASONING: This is a positive example of a Generative AI chatbot acting as a health coach for adults. CONTENT: GenFit: Evaluating a Large Language Model-based Physical Activity Coach. We conducted a 4-week pilot study where adults interacted with a fine-tuned GPT-based chatbot on their phones. The AI coach provided motivational support and answered fitness queries, increasing daily step counts."
POS,"Synthetic_POS_05","REASONING: This is a positive example involving Reinforcement Learning (Contextual Bandits) for optimizing notification timing. CONTENT: Optimizing Walking Prompts via Bandit Algorithms: A Micro-Randomized Trial. The study tests a smartphone app that uses a contextual bandit algorithm to learn the optimal time of day to send walking suggestions to users, adapting to their calendar and location."
POS,"Synthetic_POS_06","REASONING: This is a positive example using Natural Language Processing (NLP) to analyze digital diary entries for PA motivation. CONTENT: Sentiment Analysis of Physical Activity Diaries for Tailored Interventions. A smartphone app allows users to log their daily activity experiences via voice. An NLP module analyzes sentiment to categorize motivation levels and adjust the intensity of weekly activity goals."
